BILLING_CODE,BILLING_DESCRIPTION,END_DATE,PLSLN_SUIT,START_DATE,ID,BUNDLE_OFFER_GROUP_ID,BUNDLE_PRODUCT_ID,MIG_STATUS,MIG_DATE,DOWNGRADE_START_DATE,BUNDLE_OFFER_CAMPAIGN_ID,CAMPAIGN_CATEGORY_ID,DISABLE_UNDO_CAMPAIGN_CHANGE,IS_BRAND_MODEL_BASED_BUNDLE,IS_MIN_USAGE_EXEMPTED,COMMIT_TRANS_ON_PROD_CHANGE,IS_INFRASTRUCTURE_BASED,CMPGN_CHANGE_END_OF_COMMITMENT,PRIORITY,PROMOCODE_OFFER_CODE,EXTRAJET_URL,UNDO_AVAILABILITY,COMMITMENT_CHECK_DAY,BTK_REP_NEEDED,SOLNET_URL,CAMPAIGN_CRITERIA_TEXT,IS_REFURBISHED_MODEM_CAMPAIGN
03237,Sanal Modemli Akıllı Faks,2099-05-27 00:00:00,NO,2025-04-21 00:00:00,3A68730D-S2P8-7R61-0RY7-L6G1631N3268,,6V1F57U3-0MBZ-7669-6F81-C6J217V961FF,B0,2019-01-04 18:03:52,,V0I5DIZ6-F479-55EA-3590-7867B001708H,,YES,NO,NO,NO,NO,,,,,DISALLOWED,,,,,
4,BT/Bulut -Güvenli Bilgi Yönetimi Sunuculu,2099-09-23 00:00:00,NO,2014-03-01 00:00:00,1I06399Z-L787-9VZJ-64L2-7468C503J4Q6,,T50248D6-L81L-058B-2J53-R792T124T502,B0,2019-01-04 18:15:13,,,,YES,NO,UNDEFINED,UNDEFINED,NO,,,,,DISALLOWED,,,,,
49862,Güz Kampanyası Ekim2007 (DOUBLE) - AdslDouble - PIKATEL - Airmax - ZYXEL - P-2602HWL-D1A_,2020-01-01 00:00:00,NO,1970-01-01 00:00:00,31G92G21-9238-7037-N718-H454H50CVVG9,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 18:17:13,,165807Q4-A58R-4419-7247-V7720215J658,V8364Q37-H4X7-5ZU1-760M-E5YQ22903836,YES,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,,,,,DISALLOWED,,,,,
80579,Güz Kampanyası Ekim2007 (DOUBLE) - AdslDouble - ZYXEL - P-2602HWL-D1A_,2020-01-01 00:00:00,NO,1970-01-01 00:00:00,ZE2W113Q-04M8-5E8L-2D18-C6023JSW7EKW,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 18:17:13,,IO56Q71T-G799-54Y2-D8Y2-NZ15973WI25Q,V8364Q37-H4X7-5ZU1-760M-E5YQ22903836,YES,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,,,,,DISALLOWED,,,,,
36191,ADSL / Upsell Kampanyasi (09.09.2009),2011-09-10 00:00:00,NO,2009-09-01 00:00:00,U728674Y-6469-587M-037D-8F4LO22Z6VYS,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 18:06:17,,165807Q4-A58R-4419-7247-V7720215J658,V8364Q37-H4X7-5ZU1-760M-E5YQ22903836,YES,UNDEFINED,UNDEFINED,UNDEFINED,YES,,,,,ALLOWED,,,,,
03664,Güz Kampanyası Eylül2007 (DATA) - AdslDouble_,2020-01-01 00:00:00,NO,1970-01-01 00:00:00,A33806J3-YR9Q-35FQ-318R-BC2G3I4FAD38,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 18:17:23,,IO56Q71T-G799-54Y2-D8Y2-NZ15973WI25Q,V8364Q37-H4X7-5ZU1-760M-E5YQ22903836,YES,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,,,,,DISALLOWED,,,,,
91739,Güz Kampanyası-Eylül2007 (DOUBLE) - AdslDouble_,2020-01-01 00:00:00,NO,1970-01-01 00:00:00,B294E7AJ-OK7T-634P-N4I2-3IA751G13Q94,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2017-12-01 16:17:13,,,,YES,,,,,,,,,DISALLOWED,,,,,
92468,Güz Kampanyası-Eylül2007 (DOUBLE) - AdslDouble - AIRTIES - WAV-140_,2020-01-01 00:00:00,NO,1970-01-01 00:00:00,67D85Q84-242M-890Z-0510-WGY1CJ30GRDG,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 18:16:06,,IO56Q71T-G799-54Y2-D8Y2-NZ15973WI25Q,V8364Q37-H4X7-5ZU1-760M-E5YQ22903836,YES,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,,,,,DISALLOWED,,,,,
19813,Superonline ADSL Çalışan Kampanyası Bağlanan Paket - data only,2012-12-31 00:00:00,NO,2010-02-10 00:00:00,997M6638-ZFR7-0619-E34U-6SJ514XZRJ76,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 17:59:26,,M4WYK4Z4-S49J-2241-7Q99-37K9A22F44W2,V8364Q37-H4X7-5ZU1-760M-E5YQ22903836,YES,UNDEFINED,YES,UNDEFINED,YES,,,,,DISALLOWED,,,,,
68556,ADSL SUPERPAKET  BAĞLANAN PAKET - 3 ay bedava seçmeli,2012-02-10 00:00:00,NO,2010-02-10 00:00:00,J09TOCT4-2270-5B79-7725-91882700JA9T,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 18:02:50,,IO56Q71T-G799-54Y2-D8Y2-NZ15973WI25Q,V8364Q37-H4X7-5ZU1-760M-E5YQ22903836,YES,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,,,,,DISALLOWED,,,,,
