ID,CREATE_TIME,CREATE_USER,CREATE_USERIP,DELETED,UPDATE_TIME,UPDATE_USER,UPDATE_USERIP,VERSION,AUTO_ID,COMMITMENT_DISCOUNT,DISCOUNT_BILLING_CODE,DISCOUNT_STATUS,PERIOD_END,PERIOD_START,CONTRACT_DETAIL_PRICE_ID,MIG_STATUS,MIG_DATE,AMOUNT,CALCULATION_TYPE,BULK_BENEFIT_ID,NONCOMMITMENT_DISCOUNT_ID,DISCOUNT_START_DATE,DISCOUNT_END_DATE
084623C7-1T96-6019-X608-4779X79VC36W,2025-05-26 16:11:10,SYSTEM,212.9.0.1,0,2025-05-26 16:11:10,SYSTEM,578.6.8.8,0,4473099039,NO,,ACTIVE,1.0,1.0,7BCDAF09-3617-42E5-B870-62430127D699,,,90.0,,,,,
NX6FS786-HA3I-4VSG-3RK2-7F51337MUO70,2025-05-26 16:11:10,SYSTEM,828.4.9.2,0,2025-05-26 16:11:10,SYSTEM,257.4.0.1,0,6843946685,YES,,ACTIVE,1.0,1.0,BF767891-4139-4BC8-98D8-D1FF8133D1BF,,,1016.949153,,,,,
82D36542-16ZH-9V73-PX7I-SJB26U0354XN,2025-05-26 16:11:12,SYSTEM,404.9.5.3,0,2025-05-26 16:11:12,SYSTEM,271.9.9.7,0,0334329628,YES,,ACTIVE,1.0,1.0,FD94964C-344F-4F2E-81BD-A95B74100EC2,,,234.3749,,,,,
MZ4R302Z-2087-5154-X735-61A81MT266S5,2025-05-26 16:11:14,SYSTEM,481.3.5.8,0,2025-05-26 16:11:14,SYSTEM,677.8.4.5,1,2546141232,NO,,ACTIVE,1.0,1.0,D14C6F27-3F18-42AD-91EC-D5584E2D1032,,,1.0,DISCOUNT,,,,
50V13768-G558-4I0L-405F-41458W3L93Q5,2025-05-26 16:11:14,SYSTEM,936.8.0.5,0,2025-05-26 16:11:14,SYSTEM,812.2.9.2,1,2835453534,NO,,ACTIVE,12.0,2.0,D14C6F27-3F18-42AD-91EC-D5584E2D1032,,,2.0,NET,,,,
2738Q938-4629-9B1D-G476-088865QCG17R,2025-05-26 16:11:15,SYSTEM,831.8.8.1,0,2025-05-26 16:11:25,SYSTEM,444.8.3.2,1,0331116921,YES,403746180,ACTIVE,24.0,1.0,218E87C6-E3E5-41E2-BD16-0604A7538682,,,5.4654,DISCOUNT,,,,
9012PW15-Y20J-9548-3Y64-ARD6LB914359,2025-05-26 16:16:12,SYSTEM,414.8.9.7,0,2025-05-26 16:16:16,SYSTEM,411.7.2.5,2,7799903370,YES,398986911,ACTIVE,12.0,2.0,4E44DA53-6A84-4D96-869A-57C3D7614943,,,66.666667,NET,,,,
DF046N8C-4V47-62F6-89QS-35R323WTG891,2025-05-26 16:16:12,SYSTEM,283.1.9.7,0,2025-05-26 16:16:16,SYSTEM,262.0.1.6,1,4601643254,YES,029091875,ACTIVE,1.0,1.0,4E44DA53-6A84-4D96-869A-57C3D7614943,,,0.0,NET,,,,
R8N39283-R7MC-2G93-V98E-69GH0T25GQ53,2025-05-26 16:16:12,SYSTEM,787.8.8.3,0,2025-05-26 16:16:12,SYSTEM,931.1.9.5,0,6118271817,YES,,ACTIVE,1.0,1.0,0436AEEF-611A-4239-BB2C-53A8E50FAFC2,,,269.230768,,,,,
5X0UARD9-741H-5900-42BD-44O556A1161R,2025-05-26 16:16:12,SYSTEM,414.7.6.6,0,2025-05-26 16:16:12,SYSTEM,558.9.5.3,0,1045946777,YES,,ACTIVE,1.0,1.0,0C20A493-08E1-4DE7-8022-F91F36173ACD,,,1083.333333,,,,,
P4QA056Q-D037-46TC-81Y0-V0EB581R8413,2025-05-26 16:16:12,SYSTEM,253.1.0.6,0,2025-05-26 16:16:12,SYSTEM,846.2.3.0,0,7458216491,NO,,ACTIVE,1.0,1.0,1E123474-EBA8-4AC4-B073-5B174ACBC3E5,,,90.0,,,,,
7M7ELD16-004T-3V8B-25X6-F982BGDQ3743,2025-05-26 16:16:13,SYSTEM,054.3.9.0,0,2025-05-26 16:16:13,SYSTEM,215.4.7.5,0,0136361038,YES,,ACTIVE,1.0,1.0,69E122E2-D8FB-4EAD-9F04-9C54FC787C1E,,,461.538462,,,,,
3L016OL2-581E-00LE-4C16-79T1092WJ600,2025-05-26 16:16:47,SYSTEM,166.2.3.3,0,2025-05-26 16:16:47,SYSTEM,222.0.9.2,0,1209011384,NO,,ACTIVE,1.0,1.0,4BE82846-2A62-4539-96E9-AE025E1E9733,,,90.0,DISCOUNT,,,,
WHI6I2LC-4914-3Q45-QN59-N5W7339O7F0B,2025-05-26 16:19:16,SYSTEM,177.9.4.5,0,2025-05-26 16:19:16,SYSTEM,851.6.8.9,0,8786294569,YES,,ACTIVE,1.0,1.0,3A743B9E-33C4-43B5-86F5-3506F05838C0,,,0.0,NET,,,,
E750X709-8647-1J94-SWY7-0K3DGEMDW692,2025-05-26 16:19:16,SYSTEM,194.9.2.2,0,2025-05-26 16:19:16,SYSTEM,220.4.5.9,0,0865278623,YES,,ACTIVE,99.0,2.0,3A743B9E-33C4-43B5-86F5-3506F05838C0,,,41.666667,NET,,,,
1T01N964-NMVO-618C-1I64-22F920TB7N9R,2025-05-26 16:19:18,SYSTEM,414.7.1.1,0,2025-05-26 16:19:18,SYSTEM,047.2.9.8,0,3529640592,YES,,ACTIVE,1.0,1.0,C1E174DB-BB61-4470-9565-BFF5B2EF60F0,,,74.9999,,,,,
9UO99JO5-2C8C-8W55-86H8-Y919G0417347,2025-05-26 16:19:19,SYSTEM,141.4.7.4,0,2025-05-26 16:19:19,SYSTEM,523.3.9.6,0,8336382785,NO,,ACTIVE,1.0,1.0,2CF48320-68F8-4ED6-BA61-1333B92EB6E4,,,90.0,DISCOUNT,,,,
585JODWJ-278S-832D-4648-265Y0206E64P,2025-05-26 16:23:57,SYSTEM,033.1.4.4,0,2025-05-26 16:23:57,SYSTEM,427.8.6.8,0,3859764875,YES,,ACTIVE,,,2E5858F8-CC82-471E-ADB7-F191EAF8867B,,,576.923077,DISCOUNT,,,,
25X71N7A-9I3X-8244-GK25-6524J2T08MY5,2025-05-26 16:25:01,SYSTEM,795.1.2.4,0,2025-05-26 16:25:01,SYSTEM,015.7.2.9,0,8010687168,YES,,ACTIVE,1.0,1.0,AF1AECDC-B516-4B75-9824-AC7568223D85,,,1016.949153,,,,,
CO1FL036-99DG-43W6-591K-W61X3B126I4A,2025-05-26 16:25:01,SYSTEM,829.9.1.9,0,2025-05-26 16:25:01,SYSTEM,811.9.3.8,0,1915981324,YES,,ACTIVE,12.0,2.0,4FC8E222-B677-4CAC-80F9-A274BBB2C197,,,41.666667,NET,,,,
60812R87-V1A9-2204-85K7-9HH162O4H2M5,2025-05-26 16:25:01,SYSTEM,938.5.1.1,0,2025-05-26 16:25:01,SYSTEM,937.9.1.4,0,1345269484,YES,,ACTIVE,1.0,1.0,4FC8E222-B677-4CAC-80F9-A274BBB2C197,,,0.0,NET,,,,
E33H8891-3G10-55P8-F276-I7OS5W440HT4,2025-05-26 16:25:01,SYSTEM,172.4.1.4,0,2025-05-26 16:25:06,SYSTEM,802.9.6.2,1,8138645217,YES,440105974,ACTIVE,1.0,1.0,5AB32B1D-E250-4138-9E57-7962399DD361,,,0.0,NET,,,,
F106DR9I-9286-6865-6B51-S396884013JV,2025-05-26 16:25:01,SYSTEM,742.1.7.1,0,2025-05-26 16:25:06,SYSTEM,078.9.7.4,2,9656730928,YES,861407757,ACTIVE,12.0,2.0,5AB32B1D-E250-4138-9E57-7962399DD361,,,70.769231,NET,,,,
RB212R20-T5M7-4XQM-DRGL-B3896P062512,2025-05-26 16:28:25,SYSTEM,571.8.7.7,0,2025-05-26 16:28:25,SYSTEM,545.8.1.5,0,3498628826,YES,,ACTIVE,1.0,1.0,C2750175-86A0-4443-813F-DDCA84B485AC,,,0.0,NET,,,,
2P2822I7-66ZY-8834-FM02-527V12I4578O,2025-05-26 16:28:25,SYSTEM,106.2.6.9,0,2025-05-26 16:28:25,SYSTEM,599.7.4.1,0,1357030195,YES,,ACTIVE,99.0,2.0,C2750175-86A0-4443-813F-DDCA84B485AC,,,41.666667,NET,,,,
7A76K1BE-2V07-652L-S1R9-2WRD3Z082329,2025-05-26 16:28:26,SYSTEM,032.8.2.1,0,2025-05-26 16:28:26,SYSTEM,628.3.7.6,0,1077493594,YES,,ACTIVE,12.0,2.0,7DB5D681-1A5D-4261-9FFF-7C5926BA5E4B,,,461.538462,NET,,,,
I8M178G4-LXL0-7FQ7-A7K8-74C54Z80344W,2025-05-26 16:28:26,SYSTEM,249.8.1.9,0,2025-05-26 16:28:26,SYSTEM,219.6.6.6,0,4594714979,YES,,ACTIVE,1.0,1.0,7DB5D681-1A5D-4261-9FFF-7C5926BA5E4B,,,0.0,NET,,,,
BB779W80-119Y-3MML-20J9-I61T0C4P3051,2025-05-26 16:36:29,SYSTEM,580.7.9.3,0,2025-05-26 16:36:29,SYSTEM,111.0.7.4,0,6751239486,YES,,ACTIVE,1.0,1.0,D7C90879-D414-4AE6-B2B1-BF71EE4D23F6,,,234.3749,,,,,
00WC0421-R79G-96Y7-Z1QK-384H060H8M69,2025-05-26 16:36:29,SYSTEM,598.1.0.4,0,2025-05-26 16:36:29,SYSTEM,213.9.9.0,0,6836700253,NO,,ACTIVE,1.0,1.0,F32DD274-5050-4D69-9875-11F89421D2D1,,,1000.0,,,,,
063RS342-E403-88XW-J2NN-O274U96Z23F3,2025-05-26 16:36:29,SYSTEM,561.0.6.4,0,2025-05-26 16:36:29,SYSTEM,703.5.4.5,0,3636225375,YES,,ACTIVE,1.0,1.0,CEDA8768-F373-479F-9FCD-08B59FF6C77D,,,93.7499,,,,,
K565JL75-4787-6731-20Z7-OQ6820Z51TUM,2025-05-26 16:36:29,SYSTEM,378.1.7.1,0,2025-05-26 16:36:29,SYSTEM,691.2.7.1,0,7153129970,YES,,ACTIVE,1.0,1.0,BAFC0F29-B706-42B4-A670-2DF9EC9E1187,,,156.25,,,,,
6S74JN61-QIOL-0373-O19J-P22WA0183J13,2025-05-26 16:36:29,SYSTEM,542.3.1.7,0,2025-05-26 16:36:33,SYSTEM,216.9.1.2,2,3493043377,YES,015520191,ACTIVE,12.0,2.0,A9B82A70-D11E-4180-BDEB-46C18EE99204,,,70.769231,NET,,,,
